ISSN,e-ISSN,p-ISSN,SourceID,Acronym,JournalTitle,ASJCScopus,ASJCMarketing
0094-5765,1879-2030,0094-5765,12372,AA,Acta Astronautica,2202,
2773-2371,2773-2371,,21101152625,AAC,Advanced Agrochem,1106;1601;1101,
2468-550X,2468-550X,2096-1758,21100908545,AAF,Aquaculture and Fisheries,1105;1104;2303,
1875-2780,,,12300154708,AAGRO,Acta Agronomica Sinica,1102;1110,
0940-9602,1618-0402,0940-9602,27472,AANAT,Annals of Anatomy,2702;1309,
2590-2865,2590-2865,2590-2873,21100911935,AANS,Applied Animal Science,1106;1103,
0001-4575,1879-2057,0001-4575,19532,AAP,Accident Analysis and Prevention,3307;2213;2739,
1874-1029,,,25566,AAS,Acta Automatica Sinica,2207;1712;1710;1704,
1512-1887,,,,AASCI,Annals of Agrarian Science,,
2210-7843,,,,AASPRO,Agriculture and Agricultural Science Procedia,,
2212-6716,,,,AASRI,AASRI Procedia,,
0306-4603,1873-6327,0306-4603,24763,AB,Addictive Behaviors,2701;3203;3005;2738,
0365-0596,1806-4841,,24247,ABD,Anais Brasileiros de Dermatologia,2708,
2666-2752,2666-2752,,,ABDP,Anais Brasileiros de Dermatologia (Versão em Português),,"2708
"
2352-8532,2352-8532,,21100388400,ABREP,Addictive Behaviors Reports,2701;3203;3001;2738,
2950-3876,2950-3876,,,ABS,Advanced Bionics,,
2543-1064,2543-1064,,,ABST,Advances in Biomarker Sciences and Technology,,
0003-2670,1873-4324,0003-2670,23911,ACA,Analytica Chimica Acta,1602;2304;1303;1607,
1069-6563,,,15185,ACAEME,Academic Emergency Medicine,2711,
2590-1974,2590-1974,,21101075727,ACAGS,Applied Computing and Geosciences,1700;1907,"1909
"
0099-1333,1879-1999,0099-1333,12791,ACALIB,The Journal of Academic Librarianship,3304;3309,
1040-2446,,,26493,ACAMED,Academic Medicine,3304,
1876-2859,1876-2867,1876-2859,16800154743,ACAP,Academic Pediatrics,2735,
2590-1346,2590-1346,,21100894509,ACAX,Analytica Chimica Acta: X,1602;2304;1303;1607,
1061-9518,1879-1603,1061-9518,29884,ACCAUD,"Journal of International Accounting, Auditing and Taxation",1402;2003,
0748-5751,1873-1996,0748-5751,29852,ACCEDU,Journal of Accounting Education,1402;3304,
0155-9982,,,145078,ACCFOR,Accounting Forum,1402;2003,
0122-7262,2773-0697,0122-7262,21101115808,ACCI,Acta Colombiana de Cuidado Intensivo,2906;2706;2902;2703,"2703
"
1467-0895,1873-4723,1467-0895,29806,ACCINF,International Journal of Accounting Information Systems,1404;1402;2003;1802,
0737-4607,,,21100265668,ACCLIT,Journal of Accounting Literature,1402,
2949-9453,2949-9453,,,ACCOTH,Accounting Theory and Practice,,1402
0020-7063,,,,ACCOUN,International Journal of Accounting,,
2352-5568,2352-5568,,21100435142,ACCPM,Anaesthesia Critical Care & Pain Medicine,2706;2703,
2376-0605,2376-0605,,21101074855,ACCR,AACE Clinical Case Reports,2712,"2712
"
1674-9278,2524-1761,1674-9278,21100310030,ACCRE,Advances in Climate Change Research,2306;1902;2308,
0001-5814,,,25421,ACHAEM,Acta Haematologica Polonica,2720;2730,
2210-8327,,,21100862637,ACI,Applied Computing and Informatics,1712;1710;1706,
1644-9665,,,14000156254,ACME,Archives of Civil and Mechanical Engineering,2205;2210,
1405-9940,,,34097,ACMX,Archivos de Cardiología de México,2705,
0887-6177,,,14206,ACN,Archives of Clinical Neuropsychology,3206;3203;2738,
2666-7991,2666-7991,,,ACORP,Applied Corpus Linguistics,,1203;3310
1366-0071,,,26610,ACPAIN,Acute Pain,2711;2703,
2374-2895,2374-2895,,21100869489,ACPATH,Academic Pathology,2734,
1556-8571,,,4500151410,ACRJ,ACC Cardiosource Review Journal,2900;2705,
1072-7515,,,20440,ACS,Journal of the American College of Surgeons,2746,
0186-6028,,,,ACSO,Acta Sociológica,,
1742-7061,1878-7568,1742-7061,3300147809,ACTBIO,Acta Biomaterialia,1305;1303;2502;2204;1312,
0065-1281,1618-0372,0065-1281,16756,ACTHIS,Acta Histochemica,2722;1307,
1146-609X,1873-6238,1146-609X,12493,ACTOEC,Acta Oecologica,1105;2309,
0515-3700,2352-7978,0515-3700,19408,ACTPHA,Actualités pharmaceutiques,3004;2736,
0001-6918,1873-6297,0001-6918,29424,ACTPSY,Acta Psychologica,3205;3204;1201,
0001-706X,1873-6254,0001-706X,21288,ACTROP,Acta Tropica,2405;2725;1109;3401,
1006-7191,,,28585,ACTSIN,Acta Metallurgica Sinica,2209;2506,
1887-8369,1988-6705,1887-8369,17500154714,ACU,Revista Internacional de Acupuntura,2707,
2341-4022,,,,ACUP,Acta Urológica Portuguesa,,
0210-4806,1699-7980,0210-4806,19341,ACURO,Actas Urologicas Espanolas,2748,
2173-5786,2173-5786,,,ACUROE,Actas Urológicas Españolas (English Edition),,"2748
"
1875-2136,1875-2128,1875-2136,11300153709,ACVD,Archives of Cardiovascular Diseases,2705,
1878-6480,1878-6502,1878-6480,19700166616,ACVDSP,Archives of Cardiovascular Diseases Supplements,2705,
0299-2213,,,,ACVFR,Annales de Chirurgie Vasculaire,,
1130-2542,,,,ACVSP,Anales de Cirugia Vascular,,
0001-7310,,0001-7310,24218,AD,Actas dermosifiliograficas,2734;2722;2708,
2773-224X,2773-224X,,,ADA,Acta Adamantum,,
0002-8177,1943-4723,0002-8177,23804,ADAJ,The Journal of the American Dental Association,3500,
2666-7924,2666-7924,,21101074917,ADAPEN,Advances in Applied Energy,2100,"2102
"
0065-227X,,,33635,ADB,Advances in Biophysics,1304;1303,
2667-3940,2667-3940,,21101136812,ADCANC,Advances in Cancer Biology - Metastasis,1307;1306,"1306;1300;2730;1312
"
2772-3925,2772-3925,,,ADDICN,Addiction Neuroscience,,"2802;2805;2801;2800
"
2772-3690,2772-3690,,21101162721,ADDLET,Additive Manufacturing Letters,2501;2201;2211;2209,"2209;2200;2500;2204
"
2214-8604,2214-7810,2214-8604,21100349533,ADDMA,Additive Manufacturing,2204;2500;2201;2209,
0185-1373,,,,ADEL,Anuario de Letras,,
1578-2190,,,24218,ADENGL,Actas Dermo-Sifiliográficas (English Edition),2734;2722;2708,
0965-9978,1873-5339,0965-9978,18089,ADES,Advances in Engineering Software,1712;2200,
1570-8705,1570-8713,1570-8705,26799,ADHOC,Ad Hoc Networks,1712;1708;1705,
0882-6110,2590-1699,0882-6110,4000152110,ADIAC,Advances in Accounting,1402;2003,
1775-8785,1778-4190,1775-8785,145587,ADMP,Archives des Maladies Professionnelles et de l'Environnement,2739,
2949-9445,2949-9445,,,ADNC,Advanced Nanocomposites,,
2667-1476,2667-1476,,,ADOMS,Advances in Oral and Maxillofacial Surgery,,"3504;2746
"
0169-409X,1872-8294,0169-409X,19409,ADR,Advanced Drug Delivery Reviews,3003,
2452-1094,2452-1094,,21100465104,ADRO,Advances in Radiation Oncology,2730;2741,
1474-0346,1873-5320,1474-0346,23640,ADVEI,Advanced Engineering Informatics,1710;1702,
1093-0191,,,21100780799,ADVENV,Advances in Environmental Research,2300,
2772-8234,2772-8234,,21101130829,ADVMEM,Advanced Membranes,1501;2501;1508;1506,
